Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	0
Conversion Gain:	1024
Coarse Gain:	1
Fine Gain:	2.49
Upper Discriminator:	28
Lower Discriminator:	0
Calibration Coefficients:	-0.453146853146853	0.027972027972027972
Calibration Channels:	245	531
Calibration Energies:	6.4	14.4
Elapsed Real Time:	170.91
Elapsed Live Time:	170.0
Start Time:	February 08, 2024, 03:16:19
End Time:	February 08, 2024, 03:19:10
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	-0.453146853146853	0
1	-0.425174825174825	0
2	-0.39720279720279705	0
3	-0.3692307692307691	0
4	-0.3412587412587411	0
5	-0.3132867132867131	0
6	-0.2853146853146852	0
7	-0.25734265734265716	0
8	-0.22937062937062921	0
9	-0.20139860139860122	0
10	-0.17342657342657325	0
11	-0.14545454545454528	0
12	-0.11748251748251731	1
13	-0.08951048951048934	0
14	-0.061538461538461375	0
15	-0.03356643356643341	0
16	-0.005594405594405438	0
17	0.02237762237762253	0
18	0.050349650349650554	2
19	0.07832167832167847	8
20	0.10629370629370649	4
21	0.1342657342657344	2
22	0.16223776223776243	0
23	0.19020979020979034	1
24	0.21818181818181837	2
25	0.24615384615384628	0
26	0.2741258741258743	2
27	0.3020979020979022	3
28	0.33006993006993024	2
29	0.35804195804195815	2
30	0.3860139860139862	1
31	0.4139860139860141	4
32	0.4419580419580421	5
33	0.46993006993007014	0
34	0.49790209790209805	0
35	0.5258741258741261	1
36	0.5538461538461541	1
37	0.581818181818182	1
38	0.6097902097902099	1
39	0.6377622377622378	4
40	0.665734265734266	1
41	0.6937062937062939	1
42	0.7216783216783218	1
43	0.7496503496503497	0
44	0.7776223776223778	2
45	0.8055944055944058	4
46	0.8335664335664337	1
47	0.8615384615384616	2
48	0.8895104895104897	4
49	0.9174825174825176	1
50	0.9454545454545455	1
51	0.9734265734265737	1
52	1.0013986013986016	1
53	1.0293706293706295	1
54	1.0573426573426574	1
55	1.0853146853146856	3
56	1.1132867132867135	1
57	1.1412587412587414	0
58	1.1692307692307693	2
59	1.1972027972027974	0
60	1.2251748251748253	2
61	1.2531468531468533	1
62	1.2811188811188812	0
63	1.3090909090909093	0
64	1.3370629370629372	1
65	1.3650349650349651	0
66	1.3930069930069933	0
67	1.4209790209790212	1
68	1.448951048951049	2
69	1.476923076923077	1
70	1.5048951048951051	1
71	1.532867132867133	2
72	1.5608391608391612	3
73	1.588811188811189	1
74	1.616783216783217	2
75	1.644755244755245	1
76	1.6727272727272728	0
77	1.7006993006993008	2
78	1.7286713286713287	0
79	1.7566433566433566	1
80	1.784615384615385	2
81	1.8125874125874128	1
82	1.8405594405594408	1
83	1.8685314685314687	0
84	1.8965034965034966	1
85	1.9244755244755245	1
86	1.9524475524475524	1
87	1.9804195804195808	1
88	2.0083916083916087	1
89	2.0363636363636366	1
90	2.0643356643356645	3
91	2.0923076923076924	2
92	2.1202797202797203	3
93	2.1482517482517482	2
94	2.176223776223776	5
95	2.2041958041958045	0
96	2.2321678321678324	2
97	2.2601398601398603	3
98	2.2881118881118883	3
99	2.316083916083916	6
100	2.344055944055944	3
101	2.372027972027972	4
102	2.4000000000000004	3
103	2.4279720279720283	10
104	2.455944055944056	5
105	2.483916083916084	7
106	2.511888111888112	4
107	2.53986013986014	5
108	2.567832167832168	6
109	2.5958041958041957	5
110	2.623776223776224	2
111	2.651748251748252	4
112	2.67972027972028	6
113	2.707692307692308	5
114	2.7356643356643358	7
115	2.7636363636363637	6
116	2.7916083916083916	5
117	2.81958041958042	7
118	2.847552447552448	10
119	2.8755244755244758	6
120	2.9034965034965037	12
121	2.9314685314685316	7
122	2.9594405594405595	7
123	2.9874125874125874	3
124	3.0153846153846153	10
125	3.0433566433566437	6
126	3.0713286713286716	6
127	3.0993006993006995	4
128	3.1272727272727274	7
129	3.1552447552447553	7
130	3.1832167832167833	6
131	3.211188811188811	5
132	3.2391608391608395	5
133	3.2671328671328674	12
134	3.2951048951048953	4
135	3.3230769230769233	6
136	3.351048951048951	4
137	3.379020979020979	11
138	3.406993006993007	10
139	3.434965034965035	4
140	3.4629370629370633	12
141	3.490909090909091	3
142	3.518881118881119	6
143	3.546853146853147	7
144	3.5748251748251754	9
145	3.602797202797203	4
146	3.630769230769231	5
147	3.6587412587412587	4
148	3.686713286713287	3
149	3.7146853146853145	6
150	3.742657342657343	8
151	3.770629370629371	7
152	3.7986013986013987	7
153	3.826573426573427	12
154	3.8545454545454545	8
155	3.882517482517483	7
156	3.9104895104895103	7
157	3.9384615384615387	2
158	3.966433566433566	5
159	3.9944055944055945	4
160	4.022377622377623	7
161	4.05034965034965	8
162	4.078321678321679	2
163	4.106293706293706	8
164	4.1342657342657345	8
165	4.162237762237762	5
166	4.19020979020979	5
167	4.218181818181819	8
168	4.246153846153846	8
169	4.2741258741258745	3
170	4.302097902097902	6
171	4.33006993006993	3
172	4.358041958041958	4
173	4.386013986013986	5
174	4.4139860139860145	2
175	4.441958041958042	5
176	4.46993006993007	3
177	4.497902097902098	3
178	4.525874125874126	7
179	4.553846153846154	7
180	4.581818181818182	6
181	4.60979020979021	4
182	4.637762237762238	5
183	4.665734265734266	5
184	4.693706293706294	3
185	4.721678321678322	5
186	4.7496503496503495	2
187	4.777622377622378	7
188	4.805594405594405	2
189	4.833566433566434	3
190	4.861538461538462	5
191	4.8895104895104895	3
192	4.917482517482518	3
193	4.945454545454545	4
194	4.973426573426574	6
195	5.001398601398601	3
196	5.0293706293706295	3
197	5.057342657342658	4
198	5.085314685314685	4
199	5.113286713286714	4
200	5.141258741258741	1
201	5.1692307692307695	4
202	5.197202797202797	1
203	5.225174825174825	5
204	5.253146853146854	0
205	5.281118881118881	6
206	5.3090909090909095	2
207	5.337062937062937	4
208	5.365034965034965	4
209	5.393006993006993	3
210	5.420979020979021	3
211	5.4489510489510495	5
212	5.476923076923077	6
213	5.504895104895105	3
214	5.532867132867133	6
215	5.560839160839161	8
216	5.588811188811189	5
217	5.616783216783217	7
218	5.6447552447552445	4
219	5.672727272727273	6
220	5.700699300699301	11
221	5.728671328671329	8
222	5.756643356643357	8
223	5.7846153846153845	11
224	5.812587412587413	16
225	5.84055944055944	8
226	5.868531468531469	15
227	5.896503496503497	10
228	5.9244755244755245	9
229	5.952447552447553	9
230	5.98041958041958	9
231	6.008391608391609	14
232	6.036363636363636	6
233	6.0643356643356645	7
234	6.092307692307693	11
235	6.12027972027972	12
236	6.148251748251749	12
237	6.176223776223776	10
238	6.2041958041958045	7
239	6.232167832167832	11
240	6.26013986013986	20
241	6.288111888111889	6
242	6.316083916083916	18
243	6.3440559440559445	17
244	6.372027972027972	9
245	6.4	28
246	6.427972027972028	16
247	6.455944055944056	20
248	6.483916083916084	12
249	6.511888111888112	15
250	6.53986013986014	11
251	6.567832167832168	20
252	6.595804195804196	15
253	6.623776223776224	16
254	6.651748251748252	26
255	6.6797202797202795	20
256	6.707692307692308	27
257	6.735664335664336	24
258	6.763636363636364	18
259	6.791608391608392	17
260	6.8195804195804195	24
261	6.847552447552448	19
262	6.875524475524475	28
263	6.903496503496504	20
264	6.931468531468532	26
265	6.9594405594405595	40
266	6.987412587412588	37
267	7.015384615384615	37
268	7.043356643356644	34
269	7.071328671328671	42
270	7.0993006993006995	28
271	7.127272727272727	30
272	7.155244755244755	50
273	7.183216783216784	38
274	7.211188811188811	48
275	7.2391608391608395	46
276	7.267132867132867	73
277	7.295104895104895	62
278	7.323076923076923	58
279	7.351048951048951	66
280	7.3790209790209795	63
281	7.406993006993007	101
282	7.434965034965035	84
283	7.462937062937063	87
284	7.490909090909091	97
285	7.518881118881119	93
286	7.546853146853147	108
287	7.574825174825175	118
288	7.602797202797204	114
289	7.63076923076923	105
290	7.658741258741259	123
291	7.686713286713287	121
292	7.714685314685315	143
293	7.742657342657342	127
294	7.77062937062937	148
295	7.798601398601399	152
296	7.826573426573427	164
297	7.854545454545455	169
298	7.882517482517482	185
299	7.91048951048951	175
300	7.938461538461539	182
301	7.966433566433567	201
302	7.994405594405595	178
303	8.022377622377622	179
304	8.05034965034965	209
305	8.078321678321679	202
306	8.106293706293707	192
307	8.134265734265734	221
308	8.162237762237762	241
309	8.19020979020979	207
310	8.218181818181819	222
311	8.246153846153847	199
312	8.274125874125874	232
313	8.302097902097902	228
314	8.33006993006993	257
315	8.358041958041959	242
316	8.386013986013985	240
317	8.413986013986014	219
318	8.441958041958042	227
319	8.46993006993007	206
320	8.497902097902099	217
321	8.525874125874125	194
322	8.553846153846154	210
323	8.581818181818182	189
324	8.60979020979021	203
325	8.637762237762239	206
326	8.665734265734265	195
327	8.693706293706294	190
328	8.721678321678322	189
329	8.74965034965035	192
330	8.777622377622377	177
331	8.805594405594405	202
332	8.833566433566434	163
333	8.861538461538462	181
334	8.88951048951049	177
335	8.917482517482517	130
336	8.945454545454545	164
337	8.973426573426574	162
338	9.001398601398602	162
339	9.02937062937063	142
340	9.057342657342657	157
341	9.085314685314685	154
342	9.113286713286714	152
343	9.141258741258742	145
344	9.169230769230769	130
345	9.197202797202797	122
346	9.225174825174825	121
347	9.253146853146854	142
348	9.281118881118882	120
349	9.309090909090909	131
350	9.337062937062937	119
351	9.365034965034965	98
352	9.393006993006994	122
353	9.42097902097902	86
354	9.448951048951049	99
355	9.476923076923077	102
356	9.504895104895105	93
357	9.532867132867134	95
358	9.56083916083916	101
359	9.588811188811189	90
360	9.616783216783217	95
361	9.644755244755245	88
362	9.672727272727274	84
363	9.7006993006993	82
364	9.728671328671329	73
365	9.756643356643357	85
366	9.784615384615385	84
367	9.812587412587412	65
368	9.84055944055944	65
369	9.868531468531469	83
370	9.896503496503497	61
371	9.924475524475525	67
372	9.952447552447552	59
373	9.98041958041958	59
374	10.008391608391609	67
375	10.036363636363637	63
376	10.064335664335664	80
377	10.092307692307692	60
378	10.12027972027972	52
379	10.148251748251749	60
380	10.176223776223777	70
381	10.204195804195804	65
382	10.232167832167832	44
383	10.26013986013986	47
384	10.288111888111889	45
385	10.316083916083917	44
386	10.344055944055944	55
387	10.372027972027972	37
388	10.4	56
389	10.427972027972029	44
390	10.455944055944055	45
391	10.483916083916084	65
392	10.511888111888112	32
393	10.53986013986014	47
394	10.567832167832169	60
395	10.595804195804195	47
396	10.623776223776224	42
397	10.651748251748252	66
398	10.67972027972028	35
399	10.707692307692307	36
400	10.735664335664335	37
401	10.763636363636364	45
402	10.791608391608392	40
403	10.81958041958042	33
404	10.847552447552447	48
405	10.875524475524475	56
406	10.903496503496504	47
407	10.931468531468532	47
408	10.95944055944056	48
409	10.987412587412587	50
410	11.015384615384615	39
411	11.043356643356644	45
412	11.071328671328672	44
413	11.099300699300699	41
414	11.127272727272727	45
415	11.155244755244755	42
416	11.183216783216784	47
417	11.211188811188812	46
418	11.239160839160839	53
419	11.267132867132867	44
420	11.295104895104895	48
421	11.323076923076924	42
422	11.351048951048952	45
423	11.379020979020979	42
424	11.406993006993007	39
425	11.434965034965035	45
426	11.462937062937064	33
427	11.49090909090909	46
428	11.518881118881119	42
429	11.546853146853147	41
430	11.574825174825175	48
431	11.602797202797204	56
432	11.63076923076923	36
433	11.658741258741259	46
434	11.686713286713287	48
435	11.714685314685315	32
436	11.742657342657342	40
437	11.77062937062937	48
438	11.798601398601399	49
439	11.826573426573427	31
440	11.854545454545455	42
441	11.882517482517482	40
442	11.91048951048951	47
443	11.938461538461539	38
444	11.966433566433567	44
445	11.994405594405595	29
446	12.022377622377622	41
447	12.05034965034965	40
448	12.078321678321679	33
449	12.106293706293707	30
450	12.134265734265734	45
451	12.162237762237762	47
452	12.19020979020979	32
453	12.218181818181819	35
454	12.246153846153847	41
455	12.274125874125874	48
456	12.302097902097902	35
457	12.33006993006993	34
458	12.358041958041959	32
459	12.386013986013985	38
460	12.413986013986014	36
461	12.441958041958042	31
462	12.46993006993007	37
463	12.497902097902099	37
464	12.525874125874125	31
465	12.553846153846154	27
466	12.581818181818182	32
467	12.60979020979021	39
468	12.637762237762239	41
469	12.665734265734265	38
470	12.693706293706294	37
471	12.721678321678322	30
472	12.74965034965035	33
473	12.777622377622377	28
474	12.805594405594405	35
475	12.833566433566434	38
476	12.861538461538462	28
477	12.88951048951049	20
478	12.917482517482517	29
479	12.945454545454545	33
480	12.973426573426574	42
481	13.001398601398602	25
482	13.02937062937063	33
483	13.057342657342657	23
484	13.085314685314685	33
485	13.113286713286714	24
486	13.141258741258742	28
487	13.169230769230769	26
488	13.197202797202797	34
489	13.225174825174825	27
490	13.253146853146854	26
491	13.281118881118882	27
492	13.309090909090909	21
493	13.337062937062937	35
494	13.365034965034965	38
495	13.393006993006994	20
496	13.42097902097902	21
497	13.448951048951049	18
498	13.476923076923077	32
499	13.504895104895105	25
500	13.532867132867134	15
501	13.56083916083916	26
502	13.588811188811189	25
503	13.616783216783217	20
504	13.644755244755245	21
505	13.672727272727274	20
506	13.7006993006993	18
507	13.728671328671329	14
508	13.756643356643357	25
509	13.784615384615385	25
510	13.812587412587412	13
511	13.84055944055944	17
512	13.868531468531469	24
513	13.896503496503497	16
514	13.924475524475525	24
515	13.952447552447552	16
516	13.98041958041958	19
517	14.008391608391609	13
518	14.036363636363637	11
519	14.064335664335664	17
520	14.092307692307692	14
521	14.12027972027972	19
522	14.148251748251749	11
523	14.176223776223777	12
524	14.204195804195804	11
525	14.232167832167832	7
526	14.26013986013986	9
527	14.288111888111889	13
528	14.316083916083917	16
529	14.344055944055944	8
530	14.372027972027972	11
531	14.4	10
532	14.427972027972029	7
533	14.455944055944055	13
534	14.483916083916084	6
535	14.511888111888112	13
536	14.53986013986014	6
537	14.567832167832169	6
538	14.595804195804195	11
539	14.623776223776224	6
540	14.651748251748252	9
541	14.67972027972028	6
542	14.707692307692307	3
543	14.735664335664335	6
544	14.763636363636364	10
